Building Type,tier,AllInMin,AllInMax,ShellShare,IntShare,OutShare,
Mid-Range Standard Residential,1,300,320,72%,18%,10%,
Mid-Range Standard Residential,2,340,360,69%,20%,11%,
Mid-Range Standard Residential,3,380,400,66%,22%,12%,
High-End Custom Residential,1,440,480,72%,18%,10%,
High-End Custom Residential,2,520,540,69%,20%,11%,
High-End Custom Residential,3,580,600,66%,22%,12%,
Hospitality (Hotel/Resort),1,400,500,60%,30%,10%,
Hospitality (Hotel/Resort),2,500,600,60%,30%,,
Hospitality (Hotel/Resort),3,600,700,60%,30%,10%,
Commercial / Mixed-Use,1,150,250,70%,20%,10%,
Commercial / Mixed-Use,2,250,330,70%,20%,10%,
Commercial / Mixed-Use,3,330,400,70%,20%,10%,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
